City,Country,Date,Lat,Lng,Max Temperature (F),Humidity,Cloudiness,Wind Speed
tasiilaq,gl,2018-07-22 16:50:00,65.61,-37.64,51.8,57.0,5.0,8.05
banfora,bf,2018-07-22 17:10:45,10.64,-4.75,80.41,86.0,0.0,5.08
hithadhoo,mv,2018-07-22 17:10:47,-0.6,73.08,76.54,100.0,92.0,4.97
atuona,pf,2018-07-22 17:10:47,-9.8,-139.03,79.51,100.0,76.0,19.73
busselton,au,2018-07-22 17:10:48,-33.64,115.35,60.61,100.0,68.0,31.7
poum,nc,2018-07-22 16:30:00,41.28,20.71,82.4,32.0,20.0,8.05
kibala,ao,2018-07-22 16:00:00,9.11,18.35,91.4,55.0,20.0,4.7
rikitea,pf,2018-07-22 17:10:49,-23.12,-134.97,73.84,100.0,12.0,11.23
albany,au,2018-07-22 16:55:00,42.65,-73.75,80.6,61.0,90.0,13.87
kapaa,us,2018-07-22 15:56:00,22.08,-159.32,77.0,78.0,40.0,12.75
mandera,ke,2018-07-22 17:10:52,3.94,41.86,86.71,35.0,92.0,13.13
vardo,no,2018-07-22 16:55:00,39.62,-77.74,78.8,73.0,75.0,8.05
manaure,co,2018-07-22 17:10:53,11.78,-72.45,83.29,84.0,0.0,20.07
dikson,ru,2018-07-22 17:10:54,73.51,80.55,38.29,100.0,12.0,17.6
kishanpur,in,2018-07-22 17:10:55,26.21,86.66,85.18,69.0,56.0,23.09
takapau,nz,2018-07-22 17:10:56,-40.02,176.35,47.38,61.0,0.0,18.28
baykit,ru,2018-07-22 17:10:56,61.68,96.39,45.58,76.0,88.0,2.51
hobart,au,2018-07-22 16:30:00,-42.88,147.33,48.2,76.0,75.0,11.41
geraldton,au,2018-07-22 16:00:00,49.72,-86.95,60.8,55.0,75.0,9.17
port alfred,za,2018-07-22 17:10:57,-33.59,26.89,69.25,60.0,0.0,6.08
butaritari,ki,2018-07-22 17:10:58,3.07,172.79,83.29,100.0,56.0,4.74
upernavik,gl,2018-07-22 17:10:59,72.79,-56.15,35.5,100.0,88.0,2.17
marechal candido rondon,br,2018-07-22 17:11:00,-24.56,-54.06,73.48,65.0,64.0,11.45
hilo,us,2018-07-22 15:56:00,19.71,-155.08,71.6,83.0,1.0,6.93
avarua,ck,2018-07-22 16:00:00,-21.21,-159.78,71.6,94.0,40.0,2.24
katsuura,jp,2018-07-22 17:11:02,33.93,134.5,79.06,90.0,0.0,4.18
bredasdorp,za,2018-07-22 16:00:00,-34.53,20.04,75.2,27.0,0.0,8.05
powell river,ca,2018-07-22 17:00:00,49.84,-124.52,69.8,60.0,5.0,8.05
conde,br,2018-07-22 17:11:04,-11.81,-37.61,78.16,75.0,76.0,12.57
arraial do cabo,br,2018-07-22 16:00:00,-22.97,-42.02,78.8,74.0,40.0,9.17
westport,ie,2018-07-22 17:00:00,53.8,-9.52,69.8,77.0,75.0,10.29
kruisfontein,za,2018-07-22 17:11:06,-34.0,24.73,68.8,49.0,0.0,10.45
hermanus,za,2018-07-22 17:11:06,-34.42,19.24,72.49,31.0,0.0,7.65
half moon bay,us,2018-07-22 15:56:00,37.46,-122.43,69.8,77.0,40.0,9.17
dormidontovka,ru,2018-07-22 17:11:07,47.77,134.91,66.46,87.0,56.0,2.73
tuatapere,nz,2018-07-22 17:11:07,-46.13,167.69,44.68,100.0,92.0,14.58
boyolangu,id,2018-07-22 17:11:08,-8.09,111.9,69.88,95.0,20.0,6.08
lindi,tz,2018-07-22 16:00:00,-10.0,39.71,77.0,69.0,20.0,11.41
isangel,vu,2018-07-22 17:11:09,-19.55,169.27,70.42,100.0,92.0,8.43
ushuaia,ar,2018-07-22 16:00:00,-54.81,-68.31,33.8,69.0,0.0,6.98
boguchany,ru,2018-07-22 17:11:09,58.38,97.46,48.64,76.0,20.0,3.4
dondo,mz,2018-07-22 16:00:00,-19.62,34.74,71.6,83.0,20.0,11.68
buala,sb,2018-07-22 17:12:13,-8.15,159.59,79.42,96.0,92.0,9.44
sao filipe,cv,2018-07-22 17:12:13,14.9,-24.5,76.45,96.0,48.0,13.24
christiansburg,us,2018-07-22 16:55:00,37.13,-80.41,73.4,78.0,75.0,8.05
vila franca do campo,pt,2018-07-22 17:00:00,37.72,-25.43,75.2,69.0,40.0,10.29
atwater,us,2018-07-22 15:53:00,37.35,-120.61,84.2,41.0,1.0,8.05
byron bay,au,2018-07-22 16:30:00,-28.65,153.62,46.4,100.0,0.0,3.36
lorengau,pg,2018-07-22 17:12:16,-2.02,147.27,82.93,100.0,76.0,9.66
kodiak,us,2018-07-22 16:53:00,39.95,-94.76,82.4,58.0,1.0,6.93
rantepao,id,2018-07-22 17:12:17,-2.97,119.9,67.36,100.0,88.0,1.72
monrovia,lr,2018-07-22 16:30:00,6.33,-10.8,82.4,78.0,75.0,9.17
provideniya,ru,2018-07-22 17:12:18,64.42,-173.23,44.5,100.0,92.0,5.19
saint-philippe,re,2018-07-22 16:55:00,45.36,-73.48,66.2,88.0,90.0,8.77
henties bay,na,2018-07-22 17:12:20,-22.12,14.28,66.91,69.0,8.0,6.98
grindavik,is,2018-07-22 16:39:00,63.84,-22.43,48.2,100.0,75.0,3.36
fethiye,tr,2018-07-22 16:20:00,36.62,29.12,96.8,25.0,0.0,13.87
jamestown,sh,2018-07-22 17:12:22,-33.21,138.6,54.31,38.0,32.0,17.27
alghero,it,2018-07-22 16:50:00,40.56,8.32,80.6,61.0,0.0,8.05
puerto ayora,ec,2018-07-22 16:00:00,-0.74,-90.35,78.8,61.0,75.0,11.41
khatanga,ru,2018-07-22 17:11:56,71.98,102.47,41.89,70.0,20.0,13.24
nikolskoye,ru,2018-07-22 16:30:00,59.7,30.79,73.4,78.0,20.0,4.47
uni,ru,2018-07-22 17:12:28,57.75,51.49,60.07,56.0,0.0,6.42
kaitangata,nz,2018-07-22 17:12:28,-46.28,169.85,41.35,82.0,12.0,9.78
itacare,br,2018-07-22 17:12:29,-14.28,-39.0,77.08,82.0,8.0,7.43
vaini,to,2018-07-22 17:12:29,15.34,74.49,69.79,98.0,92.0,8.21
tres arroyos,ar,2018-07-22 17:12:30,-38.38,-60.28,47.47,74.0,48.0,13.8
kiunga,pg,2018-07-22 17:12:31,-6.12,141.3,74.83,87.0,88.0,2.51
cape town,za,2018-07-22 16:00:00,-33.93,18.42,69.8,49.0,0.0,17.22
carnarvon,au,2018-07-22 17:12:33,-30.97,22.13,54.04,38.0,0.0,11.79
port hedland,au,2018-07-22 17:00:00,-20.31,118.58,66.2,88.0,0.0,9.17
ferrol,es,2018-07-22 17:00:00,43.48,-8.23,77.0,69.0,20.0,8.05
thompson,ca,2018-07-22 17:00:00,55.74,-97.86,73.4,53.0,75.0,8.05
tamano,jp,2018-07-22 17:12:36,34.49,133.94,77.8,98.0,8.0,4.97
faya,td,2018-07-22 16:00:00,18.39,42.45,73.4,78.0,40.0,6.93
torbay,ca,2018-07-22 16:00:00,47.66,-52.73,69.8,88.0,90.0,21.92
lompoc,us,2018-07-22 16:35:00,34.64,-120.46,71.6,60.0,1.0,3.36
qaqortoq,gl,2018-07-22 16:50:00,60.72,-46.03,57.2,58.0,0.0,6.93
mataura,pf,2018-07-22 17:12:37,-46.19,168.86,39.64,95.0,64.0,5.53
neftegorsk,ru,2018-07-22 17:12:38,52.8,51.16,65.11,59.0,100.0,13.02
fairbanks,us,2018-07-22 15:58:00,64.84,-147.72,64.4,67.0,1.0,3.36
tuktoyaktuk,ca,2018-07-22 16:00:00,69.44,-133.03,59.0,82.0,75.0,5.82
las varas,mx,2018-07-22 15:50:00,21.18,-105.14,87.8,74.0,20.0,4.7
wattegama,lk,2018-07-22 17:12:41,7.35,80.68,70.24,100.0,92.0,4.74
caravelas,br,2018-07-22 17:12:42,-17.73,-39.27,71.95,100.0,20.0,2.39
sibolga,id,2018-07-22 17:12:42,1.74,98.78,71.14,100.0,68.0,1.05
new norfolk,au,2018-07-22 16:30:00,-42.78,147.06,48.2,76.0,75.0,11.41
abu samrah,qa,2018-07-22 17:12:43,35.3,37.18,84.28,38.0,0.0,13.69
chilca,pe,2018-07-22 16:30:00,-13.22,-72.34,51.8,57.0,75.0,5.82
dunedin,nz,2018-07-22 17:11:23,-45.87,170.5,38.11,96.0,0.0,6.98
barceloneta,us,2018-07-22 16:45:00,18.45,-66.54,87.8,70.0,75.0,17.22
port-gentil,ga,2018-07-22 16:00:00,-0.72,8.78,77.0,78.0,40.0,12.75
seymchan,ru,2018-07-22 17:13:47,62.93,152.39,53.68,84.0,20.0,2.17
astana,kz,2018-07-22 16:30:00,51.13,71.43,55.4,62.0,0.0,13.42
east london,za,2018-07-22 16:00:00,-33.02,27.91,64.4,55.0,0.0,5.82
abay,kz,2018-07-22 16:30:00,49.63,72.87,55.4,93.0,75.0,11.18
lahaina,us,2018-07-22 16:32:00,20.87,-156.68,75.2,83.0,20.0,12.75
copalillo,mx,2018-07-22 17:13:49,18.03,-99.04,86.26,35.0,12.0,2.73
alyangula,au,2018-07-22 17:13:50,-13.85,136.42,69.88,100.0,0.0,6.08
yulara,au,2018-07-22 17:00:00,-25.24,130.99,44.6,42.0,0.0,8.1
ribeira grande,pt,2018-07-22 16:30:00,38.52,-28.7,78.8,65.0,40.0,10.29
post falls,us,2018-07-22 16:58:00,47.71,-116.95,73.4,33.0,1.0,5.82
port elizabeth,za,2018-07-22 16:54:00,39.31,-74.98,82.4,74.0,90.0,13.87
maumere,id,2018-07-22 17:13:53,-8.63,122.22,77.44,100.0,0.0,6.08
peniche,pt,2018-07-22 17:00:00,39.36,-9.38,80.6,77.0,20.0,12.75
mezen,ru,2018-07-22 17:13:54,65.85,44.24,76.09,40.0,0.0,7.2
faanui,pf,2018-07-22 17:13:55,-16.48,-151.75,79.51,100.0,32.0,12.01
ponta do sol,cv,2018-07-22 17:13:55,-20.63,-46.0,79.06,38.0,20.0,9.55
puerto ayacucho,ve,2018-07-22 17:13:56,5.66,-67.63,79.06,91.0,80.0,6.64
kudahuvadhoo,mv,2018-07-22 17:13:56,2.67,72.89,78.52,100.0,92.0,15.14
soe,id,2018-07-22 16:50:00,57.91,26.05,78.8,54.0,48.0,5.82
kieta,pg,2018-07-22 17:13:57,-6.22,155.63,75.46,100.0,92.0,4.18
guanare,ve,2018-07-22 16:00:00,9.04,-69.74,84.2,100.0,75.0,3.96
nuuk,gl,2018-07-22 16:50:00,64.17,-51.74,51.8,71.0,20.0,8.05
chokurdakh,ru,2018-07-22 17:13:59,70.62,147.9,46.66,69.0,32.0,12.8
atascadero,us,2018-07-22 16:27:00,35.49,-120.67,68.0,82.0,40.0,4.7
souillac,mu,2018-07-22 17:00:00,45.6,-0.6,80.6,51.0,0.0,9.17
itoman,jp,2018-07-22 16:56:00,26.12,127.67,82.4,88.0,75.0,14.99
straseni,md,2018-07-22 17:00:00,47.14,28.61,82.4,42.0,20.0,6.93
dandong,cn,2018-07-22 17:14:03,40.12,124.37,67.18,92.0,44.0,2.06
severo-yeniseyskiy,ru,2018-07-22 17:14:06,60.37,93.04,43.51,80.0,0.0,2.06
la plaine,dm,2018-07-22 17:00:00,45.17,5.76,78.8,36.0,0.0,16.11
fortuna,us,2018-07-22 17:00:00,38.18,-1.13,86.0,48.0,20.0,16.11
takikawa,jp,2018-07-22 17:14:08,43.62,141.95,50.62,95.0,8.0,2.39
novyy buyan,ru,2018-07-22 16:30:00,53.69,50.04,68.0,72.0,40.0,6.71
hakkari,tr,2018-07-22 16:50:00,61.34,23.75,77.0,44.0,0.0,9.17
lagoa,pt,2018-07-22 17:00:00,37.14,-8.45,78.8,54.0,0.0,10.29
sarangani,ph,2018-07-22 17:14:12,5.4,125.46,82.75,100.0,76.0,9.44
mezhdurechensk,ru,2018-07-22 17:14:13,53.69,88.07,59.98,95.0,56.0,2.17
laguna,br,2018-07-22 15:44:00,27.52,-110.01,93.2,34.0,20.0,2.24
hami,cn,2018-07-22 17:14:14,42.84,93.51,70.24,40.0,0.0,4.52
robe,et,2018-07-22 17:14:15,7.12,40.01,55.48,93.0,44.0,2.95
copiapo,cl,2018-07-22 16:00:00,-27.37,-70.33,59.0,62.0,0.0,3.36
salalah,om,2018-07-22 15:50:00,17.01,54.1,78.8,88.0,90.0,10.29
praia da vitoria,pt,2018-07-22 17:00:00,38.73,-27.07,75.2,88.0,75.0,16.82
cochrane,ca,2018-07-22 17:15:18,-47.25,-72.57,31.63,72.0,36.0,2.06
ratnagiri,in,2018-07-22 17:15:18,16.98,73.3,77.62,100.0,92.0,15.03
te anau,nz,2018-07-22 17:15:19,-45.41,167.72,39.01,98.0,92.0,5.08
los llanos de aridane,es,2018-07-22 17:00:00,28.66,-17.92,75.2,64.0,20.0,14.99
bubaque,gw,2018-07-22 17:00:00,11.28,-15.83,80.6,83.0,75.0,6.93
mahebourg,mu,2018-07-22 16:00:00,-20.41,57.7,69.8,88.0,75.0,9.17
nome,us,2018-07-22 16:55:00,30.04,-94.42,91.4,55.0,1.0,9.17
ucluelet,ca,2018-07-22 17:00:00,48.94,-125.55,60.8,82.0,5.0,4.7
saint george,bm,2018-07-22 16:50:00,39.45,22.34,87.8,55.0,0.0,10.22
tyukhtet,ru,2018-07-22 17:15:23,56.54,89.31,58.99,77.0,92.0,11.01
chuy,uy,2018-07-22 17:15:24,-33.69,-53.46,55.48,80.0,88.0,7.65
ushtobe,kz,2018-07-22 17:15:25,45.25,77.98,71.77,61.0,44.0,3.4
pevek,ru,2018-07-22 17:15:26,69.7,170.27,37.39,100.0,0.0,4.97
jalu,ly,2018-07-22 17:15:26,29.03,21.55,91.03,25.0,0.0,6.53
almeirim,br,2018-07-22 17:00:00,39.21,-8.63,80.6,60.0,20.0,13.87
leningradskiy,ru,2018-07-22 17:15:28,69.38,178.42,34.24,100.0,32.0,11.45
mar del plata,ar,2018-07-22 17:15:28,-46.43,-67.52,40.45,64.0,0.0,16.04
port hardy,ca,2018-07-22 17:00:00,50.7,-127.42,57.2,87.0,90.0,4.7
punta arenas,cl,2018-07-22 16:00:00,-53.16,-70.91,35.6,80.0,75.0,16.11
vogan,tg,2018-07-22 16:00:00,6.33,1.53,78.8,88.0,75.0,8.05
avera,pf,2018-07-22 16:35:00,33.19,-82.53,87.8,48.0,40.0,8.05
palmerston,au,2018-07-22 16:36:00,43.83,-80.85,62.6,93.0,90.0,11.41
namatanai,pg,2018-07-22 17:15:33,-3.66,152.44,80.14,100.0,76.0,8.55
ceska ves,cz,2018-07-22 17:15:34,50.26,17.23,72.58,56.0,20.0,7.09
sorland,no,2018-07-22 16:50:00,67.67,12.69,59.0,77.0,0.0,6.93
ilulissat,gl,2018-07-22 16:50:00,69.22,-51.1,39.2,86.0,75.0,4.7
tanout,ne,2018-07-22 17:15:36,14.97,8.88,92.11,36.0,0.0,2.95
necochea,ar,2018-07-22 17:15:36,-38.55,-58.74,50.08,83.0,12.0,12.12
udachnyy,ru,2018-07-22 17:15:38,66.42,112.4,43.15,75.0,68.0,2.73
yellowknife,ca,2018-07-22 17:00:00,62.45,-114.38,64.4,39.0,75.0,18.34
vangaindrano,mg,2018-07-22 17:15:40,-23.35,47.6,61.24,99.0,92.0,5.41
ancud,cl,2018-07-22 17:15:40,-41.87,-73.83,48.01,67.0,76.0,4.07
akdepe,tm,2018-07-22 16:30:00,42.05,59.39,95.0,41.0,0.0,4.7
helong,cn,2018-07-22 17:15:41,25.94,116.13,74.92,89.0,56.0,2.39
tiksi,ru,2018-07-22 17:15:41,71.64,128.87,47.38,74.0,36.0,3.74
bethel,us,2018-07-22 16:53:00,60.79,-161.76,62.6,77.0,90.0,6.93
kavieng,pg,2018-07-22 17:15:43,-2.57,150.8,78.97,100.0,68.0,7.2
bluff,nz,2018-07-22 17:15:44,-23.58,149.07,40.45,79.0,0.0,2.95
santa cruz,cr,2018-07-22 16:42:00,36.97,-122.03,69.8,82.0,75.0,4.7
mitzic,ga,2018-07-22 17:15:45,0.78,11.55,76.18,88.0,0.0,1.95
macau,br,2018-07-22 17:15:46,-5.11,-36.64,92.74,42.0,0.0,14.7
gonen,tr,2018-07-22 16:50:00,33.12,35.65,82.4,74.0,40.0,8.05
amurzet,ru,2018-07-22 17:15:48,47.69,131.09,69.16,95.0,92.0,4.52
kapit,my,2018-07-22 17:16:50,2.02,112.94,74.47,91.0,36.0,1.95
vila velha,br,2018-07-22 17:00:00,-3.71,-38.6,86.0,58.0,40.0,12.75
coquimbo,cl,2018-07-22 16:00:00,-29.95,-71.34,57.2,67.0,0.0,9.17
nemuro,jp,2018-07-22 17:16:52,43.32,145.57,57.82,100.0,88.0,21.07
gueret,fr,2018-07-22 17:00:00,46.17,1.87,75.2,50.0,20.0,8.05
talnakh,ru,2018-07-22 17:16:54,69.49,88.39,55.3,88.0,92.0,5.08
chapais,ca,2018-07-22 17:00:00,49.78,-74.86,82.4,45.0,75.0,6.93
iquitos,pe,2018-07-22 16:00:00,-3.75,-73.25,77.0,83.0,75.0,6.93
skibbereen,ie,2018-07-22 17:00:00,51.55,-9.27,73.4,73.0,75.0,8.05
duluth,us,2018-07-22 16:55:00,46.77,-92.13,64.4,88.0,90.0,6.93
ostrovnoy,ru,2018-07-22 17:16:56,68.05,39.51,76.45,53.0,36.0,22.3
verkhnyaya inta,ru,2018-07-22 17:16:56,65.99,60.32,67.81,62.0,0.0,4.74
cherskiy,ru,2018-07-22 17:16:57,68.75,161.3,44.68,63.0,12.0,4.63
rotterdam,us,2018-07-22 16:55:00,51.92,4.46,78.8,57.0,12.0,6.93
barrow,us,2018-07-22 17:16:57,-38.31,-60.23,47.47,74.0,48.0,13.8
porto nacional,br,2018-07-22 16:00:00,-10.7,-48.41,91.4,21.0,0.0,6.93
cidreira,br,2018-07-22 17:16:58,-30.17,-50.22,62.68,79.0,8.0,15.82
coihaique,cl,2018-07-22 16:00:00,-45.58,-72.07,37.4,64.0,40.0,6.93
nekhayevskiy,ru,2018-07-22 17:12:21,50.41,41.76,73.12,84.0,64.0,4.97
liepaja,lv,2018-07-22 16:50:00,56.52,21.02,71.6,68.0,8.0,4.7
hobyo,so,2018-07-22 17:17:00,5.35,48.53,76.18,78.0,0.0,21.3
shar,kz,2018-07-22 17:17:01,7.3,8.73,80.05,84.0,44.0,6.98
soyo,ao,2018-07-22 17:17:01,-6.13,12.37,76.36,71.0,0.0,7.43
airai,pw,2018-07-22 17:17:02,-8.93,125.41,63.13,89.0,44.0,1.16
sinnamary,gf,2018-07-22 17:17:02,5.38,-52.96,82.12,94.0,32.0,5.97
qaanaaq,gl,2018-07-22 17:17:02,77.48,-69.36,34.42,100.0,92.0,10.56
saskylakh,ru,2018-07-22 17:17:04,71.97,114.09,38.47,85.0,0.0,9.22
gandorhun,sl,2018-07-22 17:17:04,8.44,-10.86,74.56,96.0,92.0,4.41
hualmay,pe,2018-07-22 17:17:06,-11.1,-77.61,70.6,65.0,0.0,6.2
abha,sa,2018-07-22 16:00:00,18.22,42.5,73.4,78.0,40.0,6.93
san patricio,mx,2018-07-22 17:17:07,-26.98,-56.83,62.41,62.0,92.0,2.95
sitka,us,2018-07-22 17:17:08,37.17,-99.65,91.48,42.0,0.0,16.04
marsaxlokk,mt,2018-07-22 16:45:00,35.84,14.54,87.8,58.0,0.0,6.93
codrington,ag,2018-07-22 17:17:10,-28.95,153.24,36.49,84.0,0.0,3.62
rochegda,ru,2018-07-22 17:17:10,62.67,43.41,74.11,44.0,0.0,6.53
salinopolis,br,2018-07-22 17:17:11,-0.61,-47.36,83.47,91.0,8.0,15.26
lavrentiya,ru,2018-07-22 17:17:11,65.58,-170.99,43.51,94.0,92.0,5.08
moerai,pf,2018-07-22 17:17:12,-22.43,-151.33,69.79,100.0,100.0,3.96
esperance,au,2018-07-22 16:00:00,10.24,-61.45,89.6,55.0,20.0,16.11
matara,lk,2018-07-22 16:00:00,-13.74,-72.9,46.4,61.0,75.0,2.39
luganville,vu,2018-07-22 17:17:13,-15.51,167.18,77.71,100.0,76.0,4.97
taoudenni,ml,2018-07-22 17:17:14,22.68,-3.98,108.4,9.0,0.0,5.64
ambilobe,mg,2018-07-22 17:17:15,-13.19,49.05,72.58,57.0,0.0,12.12
hasaki,jp,2018-07-22 16:30:00,35.73,140.83,80.6,88.0,75.0,3.36
mount gambier,au,2018-07-22 17:14:34,-37.83,140.78,54.67,55.0,44.0,13.02
montepuez,mz,2018-07-22 17:18:16,-13.13,39.0,70.15,61.0,36.0,15.03
krasnyy yar,ru,2018-07-22 17:18:17,50.7,44.73,70.15,87.0,12.0,9.66
hofn,is,2018-07-22 17:00:00,64.25,-15.21,53.6,81.0,90.0,10.29
san ramon de la nueva oran,ar,2018-07-22 17:18:18,-23.13,-64.33,68.53,57.0,0.0,4.52
la palma,pa,2018-07-22 17:18:18,5.36,-74.39,80.77,63.0,8.0,2.06
georgetown,sh,2018-07-22 16:00:00,6.8,-58.16,84.2,74.0,75.0,9.17
nanortalik,gl,2018-07-22 17:18:20,60.14,-45.24,40.72,97.0,0.0,3.51
tecoanapa,mx,2018-07-22 15:46:00,16.99,-99.26,87.8,70.0,20.0,3.36
san ignacio,bo,2018-07-22 16:00:00,-36.8,-72.03,42.8,100.0,75.0,4.7
jacala,mx,2018-07-22 17:18:23,21.0,-99.19,82.48,45.0,0.0,2.17
norman wells,ca,2018-07-22 17:00:00,65.28,-126.83,60.8,67.0,75.0,10.29
komsomolskiy,ru,2018-07-22 17:18:25,67.55,63.78,75.01,41.0,76.0,10.22
ahipara,nz,2018-07-22 17:18:26,-35.17,173.16,53.05,92.0,88.0,7.99
saldanha,za,2018-07-22 17:18:27,41.42,-6.55,85.27,30.0,0.0,4.07
barra do garcas,br,2018-07-22 17:18:28,-15.89,-52.26,88.78,36.0,24.0,7.99
crestview,us,2018-07-22 17:05:00,30.76,-86.57,91.4,62.0,75.0,9.17
sao miguel,br,2018-07-22 17:18:29,4.52,-61.01,78.61,79.0,44.0,3.06
cabo san lucas,mx,2018-07-22 15:46:00,22.89,-109.91,93.2,41.0,5.0,3.36
bowen,au,2018-07-22 16:00:00,-20.01,148.25,59.0,93.0,12.0,5.82
nantucket,us,2018-07-22 16:44:00,41.28,-70.1,75.2,100.0,90.0,14.99
borsa,ro,2018-07-22 17:18:31,47.66,24.66,65.2,86.0,80.0,2.06
guru har sahai,in,2018-07-22 17:18:31,30.72,74.42,80.32,91.0,48.0,7.99
parana,br,2018-07-22 16:00:00,-7.52,-72.89,75.2,73.0,75.0,2.24
bambous virieux,mu,2018-07-22 16:00:00,-20.34,57.76,69.8,88.0,75.0,9.17
araouane,ml,2018-07-22 17:18:32,18.9,-3.53,103.54,17.0,0.0,7.65
baghdad,iq,2018-07-22 17:00:00,33.3,44.38,96.8,22.0,0.0,1.12
iqaluit,ca,2018-07-22 17:00:00,63.75,-68.52,62.6,59.0,75.0,19.46
misratah,ly,2018-07-22 17:18:34,32.38,15.09,89.68,49.0,0.0,10.11
aswan,eg,2018-07-22 16:00:00,24.09,32.9,102.2,11.0,0.0,13.87
tshikapa,cd,2018-07-22 17:18:34,-6.42,20.79,77.8,43.0,0.0,4.41
jining,cn,2018-07-22 17:14:22,35.41,116.58,80.14,69.0,0.0,9.55
pangnirtung,ca,2018-07-22 17:00:00,66.15,-65.72,51.8,71.0,75.0,20.8
lashio,mm,2018-07-22 17:18:35,22.93,97.75,72.58,91.0,24.0,1.95
yacuiba,bo,2018-07-22 16:00:00,-22.01,-63.68,64.4,59.0,0.0,3.18
aksay,kz,2018-07-22 17:18:36,47.27,39.86,76.0,61.0,8.0,9.44
ibotirama,br,2018-07-22 17:18:37,-12.18,-43.22,86.26,34.0,0.0,6.76
newala,tz,2018-07-22 17:18:37,-10.94,39.28,70.15,70.0,80.0,8.66
okoneshnikovo,ru,2018-07-22 17:18:37,54.84,75.08,54.22,99.0,92.0,13.69
springfield,us,2018-07-22 16:52:00,37.22,-93.29,84.2,48.0,1.0,6.93
port lincoln,au,2018-07-22 17:19:39,-34.72,135.86,57.73,95.0,48.0,11.68
mayor pablo lagerenza,py,2018-07-22 17:19:40,-19.93,-60.77,80.68,42.0,88.0,18.61
gat,ly,2018-07-22 17:00:00,14.69,-16.54,96.8,39.0,75.0,10.22
victoria,sc,2018-07-22 17:00:00,5.28,115.24,82.4,83.0,75.0,2.24
quang ngai,vn,2018-07-22 17:19:42,15.12,108.8,77.08,78.0,88.0,4.07
lethem,gy,2018-07-22 17:19:43,3.38,-59.8,86.26,83.0,48.0,7.76
bandrele,yt,2018-07-22 16:30:00,-12.91,45.19,77.0,69.0,75.0,11.41
gafanha da encarnacao,pt,2018-07-22 17:00:00,40.62,-8.73,77.0,68.0,0.0,11.41
biltine,td,2018-07-22 17:19:45,14.53,20.93,88.69,25.0,0.0,6.98
laurens,us,2018-07-22 16:56:00,34.5,-82.02,82.4,65.0,20.0,6.93
grand gaube,mu,2018-07-22 16:00:00,-20.01,57.66,69.8,88.0,75.0,9.17
alice springs,au,2018-07-22 17:00:00,-23.7,133.88,59.0,28.0,0.0,8.05
minsk,by,2018-07-22 16:30:00,53.9,27.56,69.8,88.0,75.0,8.95
nara,ml,2018-07-22 16:30:00,34.68,135.8,80.6,88.0,40.0,4.7
vuktyl,ru,2018-07-22 17:19:47,63.86,57.31,68.26,50.0,0.0,3.4
bonavista,ca,2018-07-22 17:19:48,48.65,-53.11,68.44,68.0,12.0,11.68
taltal,cl,2018-07-22 17:19:49,-25.41,-70.49,65.56,75.0,0.0,4.52
kropotkin,ru,2018-07-22 17:19:49,45.43,40.58,73.75,77.0,24.0,6.42
kijang,id,2018-07-22 16:00:00,35.24,129.21,82.4,83.0,40.0,2.24
